Name,Fund/Org,Tier,Thesis_Fit,Connection,Est_Check_USD,SPIRIT_Tokens,Percent_of_Presale,Status,Meeting_Date,Notes
Jesse Walden,Variant,1-Warm,Creator ownership + AI,Direct (NODE),250000,6250000,12.5%,Not contacted,,Led Mirror + Farcaster
Will Papper,Syndicate,1-Warm,DAOs + token infra,Advisor,100000,2500000,5.0%,Warm,,Already advising - ask for intros
Fred Wilson,USV,1-Warm,Networks + platforms,Via Gene,250000,6250000,12.5%,Not contacted,,Early Twitter/Tumblr/Coinbase
Steven Venino,Strobe,1-Warm,AI agents,Direct,100000,2500000,5.0%,Not contacted,,AI-native fund
Chris Dixon,a16z crypto,1-Warm,Creator economy,Via Gene/Abraham,500000,12500000,25.0%,Not contacted,,Wrote about creator coins
Denis Nazarov,a16z,1-Warm,Generative art + AI,Via Abraham,100000,2500000,5.0%,Not contacted,,Former Mirror - art collector
Kyle Samani,Multicoin,2-Crypto VC,Crypto infrastructure,Cold/via Will,250000,6250000,12.5%,Not contacted,,Thesis-driven - writes publicly
Chris Burniske,Placeholder,2-Crypto VC,Tokenomics + networks,Cold,150000,3750000,7.5%,Not contacted,,Cryptoassets book author
Nick Tomaino,1confirmation,2-Crypto VC,Consumer crypto,Cold,100000,2500000,5.0%,Not contacted,,Early Coinbase - NFT collector
Avichal Garg,Electric Capital,2-Crypto VC,Developer infra,Via Henry,150000,3750000,7.5%,Not contacted,,Developer reports
Spencer Noon,Variant,2-Crypto VC,Data + onchain,Via Jesse,75000,1875000,3.75%,Not contacted,,Onchain data focus
Li Jin,Variant,2-Crypto VC,Creator economy,Via Jesse,100000,2500000,5.0%,Not contacted,,Passion economy thesis
Nat Friedman,AI Grant,3-AI,AI infra + agents,Cold/via Gene,100000,2500000,5.0%,Not contacted,,Former GitHub CEO
Daniel Gross,AI Grant,3-AI,AI startups,Cold/via Gene,100000,2500000,5.0%,Not contacted,,Pioneer + Apple AI
Sarah Guo,Conviction,3-AI,AI applications,Cold,150000,3750000,7.5%,Not contacted,,Former Greylock
Elad Gil,Angel,3-AI,AI + crypto,Cold,100000,2500000,5.0%,Not contacted,,Prolific angel
Matt Shumer,HyperWrite,3-AI,AI agents,Via Gene,50000,1250000,2.5%,Not contacted,,Building agents himself
Priyanka Desai,Flamingo DAO,4-Art/Culture,NFTs + gen art,Via fxhash,75000,1875000,3.75%,Not contacted,,Art collector DAO
gmoney,Admit One,4-Art/Culture,Culture + NFTs,Cold,75000,1875000,3.75%,Not contacted,,9dcc - cultural crypto
Punk 6529,6529 Capital,4-Art/Culture,NFTs + open metaverse,Cold,100000,2500000,5.0%,Not contacted,,Massive collector
Cozomo de Medici,Angel,4-Art/Culture,Art + NFTs,Cold,50000,1250000,2.5%,Not contacted,,Major NFT collector
Tyler Hobbs,Artist/Angel,4-Art/Culture,Generative art,Via Kim Asendorf,50000,1250000,2.5%,Not contacted,,Fidenza - Art Blocks
Snowfro,Art Blocks,4-Art/Culture,Generative art,Via Kim Asendorf,75000,1875000,3.75%,Not contacted,,Art Blocks founder
Balaji Srinivasan,Angel,5-Crypto Angel,Network states,Cold,100000,2500000,5.0%,Not contacted,,Former Coinbase CTO
Stani Kulechov,Aave/Lens,5-Crypto Angel,DeFi + social,Via Superfluid,75000,1875000,3.75%,Not contacted,,Aave + Lens founder
Kain Warwick,Synthetix,5-Crypto Angel,DeFi,Via Gigabrain,75000,1875000,3.75%,Not contacted,,Gigabrain customer
Jacob Horne,Zora,5-Crypto Angel,Creator infra,Cold,75000,1875000,3.75%,Not contacted,,Zora co-founder
David Hoffman,Bankless,5-Crypto Angel,Crypto media,Cold,50000,1250000,2.5%,Not contacted,,Bankless podcast
Base/Coinbase Ventures,Coinbase,6-Strategic,Base ecosystem,Via Will,250000,6250000,12.5%,Not contacted,,Deploying on Base
Superfluid,Protocol,6-Strategic,Streaming partner,Via Pierre,50000,1250000,2.5%,Not contacted,,Already partnered
Bright Moments,Collective,6-Strategic,Gen art + culture,Direct,75000,1875000,3.75%,Not contacted,,NODE connection
Anil Lulla,Delphi Digital,7-Narrative,Research + capital,Cold,100000,2500000,5.0%,Not contacted,,Shapes market narratives
Tom Schmidt,Dragonfly,7-Narrative,Crypto infra,Cold,150000,3750000,7.5%,Not contacted,,Top-tier crypto VC
Haseeb Qureshi,Dragonfly,7-Narrative,Crypto philosophy,Cold,150000,3750000,7.5%,Not contacted,,Thought leader + investor
Robert Leshner,Superstate/Compound,7-Narrative,DeFi OG,Cold,100000,2500000,5.0%,Not contacted,,Compound founder
Joseph Delong,Serial founder,7-Narrative,Infra builder,Cold,75000,1875000,3.75%,Not contacted,,SushiSwap etc
Linda Xie,Scalar Capital,7-Narrative,Crypto investing,Cold,100000,2500000,5.0%,Not contacted,,Former Coinbase
Hasu,Flashbots,7-Narrative,MEV + infra,Cold,75000,1875000,3.75%,Not contacted,,Deep infra thinker
Jon Charbonneau,DBA,7-Narrative,Research,Cold,50000,1250000,2.5%,Not contacted,,Delphi → DBA
Tarun Chitra,Gauntlet,7-Narrative,Tokenomics + risk,Cold,100000,2500000,5.0%,Not contacted,,Quantitative rigor
